id,gold_label,orig_prob,swap_prob,delta,abs_delta
19956346_gab,hate_speech,0.98807,0.98807,0.0,0.0
13925301_gab,hate_speech,0.979013,0.979013,0.0,0.0
13075034_gab,hate_speech,0.986113,0.986113,0.0,0.0
27511340_gab,normal,0.008933,0.008933,0.0,0.0
12376502_gab,offensive,0.991394,0.990693,0.000701,0.000701
12443667_gab,offensive,0.005408,0.005408,0.0,0.0
1203671580825542657_twitter,offensive,0.023803,0.023803,0.0,0.0
16002165_gab,hate_speech,0.992595,0.992595,0.0,0.0
1237051164857794572_twitter,normal,0.017889,0.017889,0.0,0.0
1264174583789174786_twitter,normal,0.001707,0.001707,0.0,0.0
1105927818184056832_twitter,offensive,0.02459,0.492776,-0.468186,0.468186
1178929320527462401_twitter,normal,0.022506,0.032611,-0.010105,0.010105
1179004403673714689_twitter,normal,0.018478,0.018478,0.0,0.0
1163082929557450753_twitter,normal,0.006928,0.007352,-0.000424,0.000424
25730290_gab,hate_speech,0.994708,0.994708,0.0,0.0
21127890_gab,hate_speech,0.993159,0.993159,0.0,0.0
21757892_gab,hate_speech,0.996217,0.996217,0.0,0.0
10512629_gab,hate_speech,0.900837,0.900837,0.0,0.0
1179070924672425985_twitter,normal,0.001217,0.001254,-3.7e-05,3.7e-05
16430676_gab,normal,0.003221,0.00361,-0.000389,0.000389
20318223_gab,normal,0.006779,0.006779,0.0,0.0
4015071_gab,hate_speech,0.007509,0.007509,0.0,0.0
1178810018680000513_twitter,normal,0.034887,0.034887,0.0,0.0
15314387_gab,offensive,0.002962,0.002962,0.0,0.0
1178720661495304195_twitter,normal,0.988194,0.988194,0.0,0.0
1178502719868325888_twitter,hate_speech,0.993048,0.993048,0.0,0.0
20069758_gab,hate_speech,0.218204,0.218204,0.0,0.0
1194735603566481415_twitter,offensive,0.997778,0.997778,0.0,0.0
1178923484887433217_twitter,normal,0.004194,0.004194,0.0,0.0
1178962472285327360_twitter,normal,0.040102,0.077251,-0.037149,0.037149
1179004417309323264_twitter,normal,0.013204,0.014212,-0.001008,0.001008
1178501413346906113_twitter,offensive,0.732959,0.94058,-0.207621,0.207621
1179019049969373184_twitter,normal,0.007277,0.007277,0.0,0.0
1233848625022763010_twitter,offensive,0.9993,0.9993,0.0,0.0
6615207_gab,normal,0.004154,0.003601,0.000553,0.000553
9053284_gab,hate_speech,0.03013,0.03013,0.0,0.0
1160017189296050177_twitter,offensive,0.24237,0.24237,0.0,0.0
1142977246283599872_twitter,normal,0.004545,0.005411,-0.000866,0.000866
1179098097160470529_twitter,normal,0.97143,0.958018,0.013412,0.013412
9551353_gab,hate_speech,0.024981,0.024981,0.0,0.0
11620676_gab,offensive,0.002118,0.002118,0.0,0.0
1178056433188904960_twitter,normal,0.005746,0.005746,0.0,0.0
2521549_gab,hate_speech,0.177353,0.177353,0.0,0.0
1185410004838428672_twitter,normal,0.009374,0.009374,0.0,0.0
27802700_gab,hate_speech,0.99364,0.99364,0.0,0.0
1186749782980734977_twitter,offensive,0.988084,0.988084,0.0,0.0
1181975809361371137_twitter,offensive,0.020362,0.020362,0.0,0.0
26251002_gab,normal,0.034772,0.034772,0.0,0.0
1178379130804432896_twitter,normal,0.143421,0.143421,0.0,0.0
23990651_gab,hate_speech,0.968204,0.968204,0.0,0.0
1178963201238716417_twitter,normal,0.988529,0.988529,0.0,0.0
1178806441991385089_twitter,normal,0.001788,0.001788,0.0,0.0
1171479257417011200_twitter,normal,0.002886,0.003014,-0.000128,0.000128
1178841789018640385_twitter,offensive,0.995197,0.995197,0.0,0.0
1087809548998594563_twitter,offensive,0.996734,0.996734,0.0,0.0
1118341460657459200_twitter,offensive,0.991093,0.993163,-0.00207,0.00207
1178844885715181569_twitter,normal,0.025237,0.025237,0.0,0.0
19840406_gab,hate_speech,0.97717,0.97717,0.0,0.0
1252475227096915968_twitter,hate_speech,0.997495,0.997495,0.0,0.0
9537035_gab,offensive,0.993328,0.993328,0.0,0.0
13395977_gab,offensive,0.025721,0.014238,0.011483,0.011483
1178323077429649408_twitter,normal,0.00345,0.003751,-0.000301,0.000301
1179070708347015169_twitter,normal,0.009031,0.009031,0.0,0.0
1226925254062362627_twitter,normal,0.004943,0.004998,-5.5e-05,5.5e-05
1179021718515568640_twitter,normal,0.002528,0.002528,0.0,0.0
13879478_gab,offensive,0.002707,0.003182,-0.000475,0.000475
1178976586168754177_twitter,hate_speech,0.98694,0.98694,0.0,0.0
11206682_gab,offensive,0.003079,0.003079,0.0,0.0
13380605_gab,hate_speech,0.994475,0.994475,0.0,0.0
1217567280617443328_twitter,offensive,0.986068,0.986068,0.0,0.0
16023241_gab,hate_speech,0.005606,0.005606,0.0,0.0
1246464315504328705_twitter,offensive,0.032837,0.032837,0.0,0.0
24227903_gab,offensive,0.013969,0.013969,0.0,0.0
7141864_gab,offensive,0.992351,0.992351,0.0,0.0
1111868668147724289_twitter,normal,0.004245,0.004245,0.0,0.0
20693707_gab,offensive,0.001459,0.001459,0.0,0.0
1179088738707759104_twitter,normal,0.001954,0.001954,0.0,0.0
1106389762066124801_twitter,offensive,0.77364,0.77364,0.0,0.0
10592982_gab,offensive,0.014922,0.014922,0.0,0.0
20339304_gab,hate_speech,0.986277,0.634034,0.352243,0.352243
18550891_gab,offensive,0.978325,0.961201,0.017124,0.017124
20562194_gab,normal,0.002081,0.002537,-0.000456,0.000456
21749687_gab,hate_speech,0.997037,0.997037,0.0,0.0
17524246_gab,hate_speech,0.353774,0.353774,0.0,0.0
21168212_gab,normal,0.005288,0.005288,0.0,0.0
1213327950763966467_twitter,offensive,0.983383,0.983383,0.0,0.0
2183555_gab,hate_speech,0.015822,0.015822,0.0,0.0
1178794715056967680_twitter,hate_speech,0.983384,0.983384,0.0,0.0
26948887_gab,offensive,0.01942,0.01942,0.0,0.0
1179087612583141376_twitter,normal,0.005317,0.005317,0.0,0.0
18452041_gab,hate_speech,0.972269,0.972269,0.0,0.0
1178567880251707392_twitter,normal,0.005282,0.005282,0.0,0.0
1146251013822668800_twitter,offensive,0.067926,0.286884,-0.218958,0.218958
1178605473743982594_twitter,normal,0.050593,0.050593,0.0,0.0
13532804_gab,hate_speech,0.990012,0.981297,0.008715,0.008715
21055613_gab,offensive,0.972363,0.972363,0.0,0.0
4300173_gab,hate_speech,0.007846,0.021979,-0.014133,0.014133
14192763_gab,offensive,0.00244,0.003211,-0.000771,0.000771
1217101519943802883_twitter,offensive,0.982482,0.987394,-0.004912,0.004912
13034303_gab,normal,0.01051,0.01051,0.0,0.0
11135587_gab,hate_speech,0.001448,0.001216,0.000232,0.000232
12345088_gab,hate_speech,0.995916,0.995916,0.0,0.0
18230837_gab,hate_speech,0.996575,0.996575,0.0,0.0
22261822_gab,offensive,0.999328,0.999328,0.0,0.0
22398797_gab,normal,0.003028,0.003028,0.0,0.0
1237773908570509313_twitter,offensive,0.079678,0.21077,-0.131092,0.131092
13107427_gab,hate_speech,0.982144,0.982144,0.0,0.0
10147319_gab,offensive,0.00538,0.00538,0.0,0.0
26342460_gab,hate_speech,0.991787,0.991787,0.0,0.0
1179024615844171777_twitter,normal,0.034575,0.03148,0.003095,0.003095
27683915_gab,hate_speech,0.994447,0.994447,0.0,0.0
3483203_gab,hate_speech,0.07534,0.104333,-0.028993,0.028993
2547072_gab,offensive,0.020097,0.020097,0.0,0.0
1270643899254497286_twitter,normal,0.04182,0.04182,0.0,0.0
1122013674485506048_twitter,normal,0.004985,0.004985,0.0,0.0
1179093281692700672_twitter,normal,0.002786,0.002839,-5.3e-05,5.3e-05
21969771_gab,hate_speech,0.005895,0.009531,-0.003636,0.003636
27386050_gab,hate_speech,0.953408,0.13873,0.814678,0.814678
1123690490136756225_twitter,normal,0.125175,0.125175,0.0,0.0
1178981918731362310_twitter,normal,0.002916,0.00276,0.000156,0.000156
16845479_gab,hate_speech,0.986446,0.986446,0.0,0.0
1084991014455201794_twitter,normal,0.004165,0.004165,0.0,0.0
20567241_gab,offensive,0.006363,0.004458,0.001905,0.001905
15108536_gab,offensive,0.002521,0.002676,-0.000155,0.000155
1195959027525726209_twitter,normal,0.007842,0.007842,0.0,0.0
1179082883333378048_twitter,normal,0.005203,0.005203,0.0,0.0
11576454_gab,normal,0.002164,0.002934,-0.00077,0.00077
1090673738545283074_twitter,hate_speech,0.994395,0.994395,0.0,0.0
18428729_gab,hate_speech,0.018349,0.018349,0.0,0.0
1084834432710656003_twitter,offensive,0.433022,0.433022,0.0,0.0
12177462_gab,normal,0.024204,0.024709,-0.000505,0.000505
25233620_gab,normal,0.987971,0.987971,0.0,0.0
23513033_gab,normal,0.009794,0.009794,0.0,0.0
25102150_gab,hate_speech,0.175326,0.175326,0.0,0.0
16491428_gab,normal,0.004545,0.004545,0.0,0.0
12580428_gab,normal,0.002178,0.002178,0.0,0.0
1123227111810945024_twitter,offensive,0.974445,0.974445,0.0,0.0
2702487_gab,normal,0.001197,0.001197,0.0,0.0
1178856299171373057_twitter,offensive,0.177992,0.177992,0.0,0.0
6817795_gab,hate_speech,0.985276,0.97539,0.009886,0.009886
27354787_gab,hate_speech,0.969865,0.969865,0.0,0.0
19084094_gab,hate_speech,0.020722,0.020722,0.0,0.0
1112706085926912000_twitter,normal,0.002675,0.004153,-0.001478,0.001478
13265405_gab,hate_speech,0.011575,0.011575,0.0,0.0
1144486239434788864_twitter,offensive,0.017435,0.017435,0.0,0.0
21585337_gab,normal,0.274354,0.274354,0.0,0.0
24959028_gab,normal,0.002857,0.003708,-0.000851,0.000851
1088243265210671104_twitter,hate_speech,0.984898,0.984898,0.0,0.0
12326179_gab,hate_speech,0.960818,0.975341,-0.014523,0.014523
1104770995611680769_twitter,normal,0.003843,0.003843,0.0,0.0
18721090_gab,hate_speech,0.010241,0.016199,-0.005958,0.005958
24590941_gab,hate_speech,0.999241,0.999241,0.0,0.0
1079097212024410118_twitter,normal,0.009926,0.009926,0.0,0.0
17563616_gab,normal,0.032128,0.032128,0.0,0.0
3367166_gab,offensive,0.98227,0.982618,-0.000348,0.000348
1230931318822838273_twitter,normal,0.033672,0.033672,0.0,0.0
1177977240996499457_twitter,hate_speech,0.956386,0.956386,0.0,0.0
17315138_gab,offensive,0.004749,0.004749,0.0,0.0
1243408978962337793_twitter,normal,0.324117,0.324117,0.0,0.0
11255170_gab,offensive,0.991129,0.991129,0.0,0.0
27597499_gab,normal,0.003501,0.003501,0.0,0.0
1091513903756980224_twitter,offensive,0.831601,0.831601,0.0,0.0
1179086469169897472_twitter,normal,0.007054,0.00688,0.000174,0.000174
1100433741338406912_twitter,offensive,0.628878,0.628878,0.0,0.0
26428645_gab,hate_speech,0.994749,0.994749,0.0,0.0
1211743854401064961_twitter,offensive,0.09858,0.09858,0.0,0.0
1219117000435339265_twitter,normal,0.996071,0.996071,0.0,0.0
1105564033632165888_twitter,normal,0.001292,0.001292,0.0,0.0
14824578_gab,offensive,0.007874,0.007874,0.0,0.0
1097529240327778310_twitter,offensive,0.023228,0.023228,0.0,0.0
1199953468741603328_twitter,offensive,0.99205,0.99205,0.0,0.0
1102795985951043584_twitter,normal,0.010408,0.010408,0.0,0.0
1179070575823605760_twitter,normal,0.525462,0.525462,0.0,0.0
14298342_gab,normal,0.0254,0.0254,0.0,0.0
1236507239155822593_twitter,offensive,0.808892,0.808892,0.0,0.0
5628068_gab,normal,0.009655,0.013648,-0.003993,0.003993
12850346_gab,normal,0.003283,0.003283,0.0,0.0
13948681_gab,normal,0.003187,0.003763,-0.000576,0.000576
1081965704939749376_twitter,hate_speech,0.996971,0.996971,0.0,0.0
26827207_gab,hate_speech,0.994647,0.993648,0.000999,0.000999
1178803884443090945_twitter,normal,0.002243,0.002243,0.0,0.0
24226606_gab,hate_speech,0.991915,0.991915,0.0,0.0
16855991_gab,normal,0.0149,0.044723,-0.029823,0.029823
1165449937028636673_twitter,normal,0.045473,0.045473,0.0,0.0
25502005_gab,hate_speech,0.998273,0.998273,0.0,0.0
26947863_gab,hate_speech,0.981088,0.981088,0.0,0.0
1178107490912870401_twitter,offensive,0.997298,0.997298,0.0,0.0
26296506_gab,normal,0.682236,0.682236,0.0,0.0
1178784612685885441_twitter,offensive,0.032273,0.065518,-0.033245,0.033245
1122981615016271872_twitter,normal,0.021311,0.021311,0.0,0.0
12189681_gab,normal,0.008429,0.022935,-0.014506,0.014506
1110069233860268032_twitter,normal,0.055499,0.055499,0.0,0.0
1257722745988710400_twitter,offensive,0.979501,0.979501,0.0,0.0
1178873120804999169_twitter,normal,0.005222,0.005222,0.0,0.0
26629071_gab,hate_speech,0.014037,0.016062,-0.002025,0.002025
13146695_gab,hate_speech,0.817895,0.817895,0.0,0.0
9075277_gab,normal,0.003639,0.003639,0.0,0.0
1174008783460323329_twitter,normal,0.004448,0.004448,0.0,0.0
14330454_gab,hate_speech,0.990936,0.990936,0.0,0.0
26349453_gab,hate_speech,0.008675,0.008675,0.0,0.0
25936116_gab,normal,0.013505,0.013505,0.0,0.0
1230108522211422208_twitter,offensive,0.018751,0.018751,0.0,0.0
1179098848876257280_twitter,normal,0.002345,0.00211,0.000235,0.000235
1178808287082336256_twitter,normal,0.034709,0.034709,0.0,0.0
17181962_gab,normal,0.008719,0.008719,0.0,0.0
1179103900579848195_twitter,normal,0.006544,0.006544,0.0,0.0
1178741533161525249_twitter,normal,0.009374,0.009374,0.0,0.0
1178630584320561152_twitter,normal,0.006516,0.006516,0.0,0.0
1178530577206644737_twitter,normal,0.00183,0.00183,0.0,0.0
22382040_gab,offensive,0.985691,0.985691,0.0,0.0
1178987503942062080_twitter,normal,0.001794,0.001607,0.000187,0.000187
1178888125386559488_twitter,normal,0.007276,0.007276,0.0,0.0
10348741_gab,offensive,0.002276,0.001262,0.001014,0.001014
5569627_gab,offensive,0.979894,0.979894,0.0,0.0
26046364_gab,hate_speech,0.990233,0.990233,0.0,0.0
1089740628802584577_twitter,offensive,0.017385,0.017385,0.0,0.0
6596922_gab,hate_speech,0.98816,0.98816,0.0,0.0
25559720_gab,hate_speech,0.355413,0.355413,0.0,0.0
4037364_gab,hate_speech,0.694026,0.694026,0.0,0.0
1179080956004769795_twitter,normal,0.016957,0.016957,0.0,0.0
3733403_gab,offensive,0.45618,0.796445,-0.340265,0.340265
1179069027546783746_twitter,normal,0.001557,0.001613,-5.6e-05,5.6e-05
1179028195720536064_twitter,normal,0.002202,0.003405,-0.001203,0.001203
1179048638921596928_twitter,hate_speech,0.998984,0.998984,0.0,0.0
1170494401312952329_twitter,normal,0.004194,0.004918,-0.000724,0.000724
1179024873231978496_twitter,normal,0.001725,0.002755,-0.00103,0.00103
2794893_gab,normal,0.018796,0.018796,0.0,0.0
1080140826175594496_twitter,offensive,0.991794,0.992829,-0.001035,0.001035
24230127_gab,offensive,0.168873,0.168873,0.0,0.0
1238155848066764800_twitter,offensive,0.91759,0.91759,0.0,0.0
3775928_gab,hate_speech,0.918999,0.918999,0.0,0.0
6395112_gab,offensive,0.004738,0.004478,0.00026,0.00026
20509359_gab,offensive,0.378881,0.378881,0.0,0.0
3426717_gab,hate_speech,0.177321,0.146174,0.031147,0.031147
27886895_gab,hate_speech,0.150168,0.150168,0.0,0.0
26852992_gab,offensive,0.004648,0.004396,0.000252,0.000252
10842673_gab,normal,0.002128,0.002128,0.0,0.0
15596675_gab,offensive,0.974386,0.974386,0.0,0.0
6952634_gab,offensive,0.00608,0.00608,0.0,0.0
2432948_gab,hate_speech,0.026544,0.026544,0.0,0.0
12731678_gab,offensive,0.014145,0.014145,0.0,0.0
22446944_gab,hate_speech,0.009495,0.016172,-0.006677,0.006677
12621344_gab,offensive,0.012897,0.012897,0.0,0.0
18173369_gab,offensive,0.003889,0.003889,0.0,0.0
14261862_gab,hate_speech,0.96382,0.96382,0.0,0.0
26212173_gab,hate_speech,0.99289,0.99289,0.0,0.0
1179077143592087553_twitter,normal,0.002968,0.002967,1e-06,1e-06
1178747237465239554_twitter,normal,0.003286,0.003286,0.0,0.0
25563686_gab,hate_speech,0.574996,0.574996,0.0,0.0
24921789_gab,hate_speech,0.995333,0.995333,0.0,0.0
14095649_gab,hate_speech,0.076957,0.076957,0.0,0.0
1179039577777983488_twitter,normal,0.001179,0.001179,0.0,0.0
13948927_gab,hate_speech,0.992827,0.992827,0.0,0.0
27055799_gab,normal,0.00363,0.004341,-0.000711,0.000711
1120883481549189120_twitter,offensive,0.994069,0.994069,0.0,0.0
1120734025885392897_twitter,offensive,0.994797,0.994797,0.0,0.0
1178899821392023552_twitter,normal,0.001958,0.001958,0.0,0.0
22842291_gab,hate_speech,0.991849,0.991849,0.0,0.0
16333911_gab,hate_speech,0.995935,0.995935,0.0,0.0
16883713_gab,hate_speech,0.007546,0.009955,-0.002409,0.002409
1178774072563511298_twitter,normal,0.037336,0.037336,0.0,0.0
24406690_gab,normal,0.009887,0.009887,0.0,0.0
25855215_gab,hate_speech,0.962333,0.962333,0.0,0.0
1251952054773231616_twitter,offensive,0.051913,0.051913,0.0,0.0
1179084808376467456_twitter,normal,0.004924,0.006838,-0.001914,0.001914
1200611362084253696_twitter,offensive,0.01069,0.010925,-0.000235,0.000235
13851720_gab,hate_speech,0.984543,0.984543,0.0,0.0
20472665_gab,hate_speech,0.176491,0.176491,0.0,0.0
14903617_gab,hate_speech,0.029016,0.029016,0.0,0.0
1092591391086178304_twitter,normal,0.004396,0.004396,0.0,0.0
19227442_gab,offensive,0.993881,0.993881,0.0,0.0
21555615_gab,hate_speech,0.164231,0.164231,0.0,0.0
16056333_gab,offensive,0.982498,0.982498,0.0,0.0
1179097064573005824_twitter,normal,0.006984,0.006984,0.0,0.0
24876858_gab,hate_speech,0.985292,0.985292,0.0,0.0
10706335_gab,hate_speech,0.992813,0.992813,0.0,0.0
1178750958718914561_twitter,normal,0.057259,0.057259,0.0,0.0
26004134_gab,hate_speech,0.987303,0.987303,0.0,0.0
15879649_gab,normal,0.535741,0.80618,-0.270439,0.270439
25311914_gab,hate_speech,0.993585,0.993585,0.0,0.0
1178655751767642112_twitter,offensive,0.808761,0.868898,-0.060137,0.060137
1178735809358450688_twitter,normal,0.982442,0.982442,0.0,0.0
1093220213758312448_twitter,normal,0.002703,0.002703,0.0,0.0
14613167_gab,hate_speech,0.049062,0.069848,-0.020786,0.020786
7247063_gab,offensive,0.001252,0.001279,-2.7e-05,2.7e-05
1179096960537632768_twitter,normal,0.24182,0.222808,0.019012,0.019012
19346774_gab,normal,0.023269,0.023269,0.0,0.0
9206345_gab,hate_speech,0.002697,0.002859,-0.000162,0.000162
1260448846041227264_twitter,normal,0.01099,0.01099,0.0,0.0
1106221666949042181_twitter,offensive,0.994705,0.994705,0.0,0.0
12777328_gab,offensive,0.057562,0.057562,0.0,0.0
21209681_gab,hate_speech,0.046948,0.046948,0.0,0.0
20318209_gab,offensive,0.992421,0.992421,0.0,0.0
3978432_gab,offensive,0.005648,0.006986,-0.001338,0.001338
7531356_gab,offensive,0.01549,0.016893,-0.001403,0.001403
1178830333246087169_twitter,normal,0.015443,0.015443,0.0,0.0
22398230_gab,hate_speech,0.128136,0.128136,0.0,0.0
1080448696486121472_twitter,offensive,0.987894,0.987894,0.0,0.0
1178638779428605952_twitter,normal,0.005246,0.005246,0.0,0.0
20989384_gab,hate_speech,0.933906,0.820284,0.113622,0.113622
11624057_gab,hate_speech,0.975569,0.975569,0.0,0.0
21835463_gab,hate_speech,0.025633,0.025633,0.0,0.0
20624917_gab,hate_speech,0.984855,0.984855,0.0,0.0
1109450987440353280_twitter,normal,0.003715,0.003715,0.0,0.0
17843410_gab,offensive,0.700597,0.892436,-0.191839,0.191839
25235815_gab,hate_speech,0.004044,0.004044,0.0,0.0
1178983784529760256_twitter,hate_speech,0.990239,0.991284,-0.001045,0.001045
11084491_gab,normal,0.004084,0.006,-0.001916,0.001916
3990992_gab,offensive,0.003841,0.003841,0.0,0.0
18957160_gab,hate_speech,0.986199,0.986199,0.0,0.0
1184634368976998406_twitter,normal,0.061591,0.061591,0.0,0.0
16084179_gab,offensive,0.002742,0.002742,0.0,0.0
1093632039864160257_twitter,offensive,0.890606,0.18275,0.707856,0.707856
1178941558235783169_twitter,normal,0.001698,0.001639,5.9e-05,5.9e-05
1179066279648468999_twitter,normal,0.001086,0.001116,-3e-05,3e-05
14908239_gab,offensive,0.010604,0.010604,0.0,0.0
1092230580312395777_twitter,hate_speech,0.994955,0.994955,0.0,0.0
26443311_gab,offensive,0.715238,0.945403,-0.230165,0.230165
10155201_gab,normal,0.004508,0.004508,0.0,0.0
1087834593204539392_twitter,normal,0.002578,0.002578,0.0,0.0
16172106_gab,hate_speech,0.014337,0.014337,0.0,0.0
14680382_gab,hate_speech,0.713947,0.988231,-0.274284,0.274284
8698767_gab,offensive,0.027989,0.027989,0.0,0.0
18112013_gab,offensive,0.004816,0.005366,-0.00055,0.00055
14974204_gab,hate_speech,0.972291,0.982476,-0.010185,0.010185
13071649_gab,hate_speech,0.772078,0.772078,0.0,0.0
1178828105445720064_twitter,normal,0.006737,0.006737,0.0,0.0
1185184833640652800_twitter,normal,0.003993,0.003993,0.0,0.0
2028645_gab,hate_speech,0.921685,0.921685,0.0,0.0
6165500_gab,hate_speech,0.004792,0.003807,0.000985,0.000985
18939950_gab,normal,0.006536,0.006536,0.0,0.0
26361372_gab,hate_speech,0.041352,0.400228,-0.358876,0.358876
1610757_gab,offensive,0.028843,0.028843,0.0,0.0
16921944_gab,hate_speech,0.99495,0.99495,0.0,0.0
1179046856237764608_twitter,normal,0.011853,0.011853,0.0,0.0
22340916_gab,offensive,0.99526,0.99526,0.0,0.0
22888404_gab,offensive,0.018711,0.018711,0.0,0.0
6058274_gab,offensive,0.012438,0.015152,-0.002714,0.002714
1258666596333170689_twitter,normal,0.003426,0.003426,0.0,0.0
1178694039287291906_twitter,normal,0.01009,0.015916,-0.005826,0.005826
16109086_gab,hate_speech,0.991351,0.991351,0.0,0.0
16070530_gab,hate_speech,0.390729,0.147211,0.243518,0.243518
19204580_gab,offensive,0.034448,0.071565,-0.037117,0.037117
24024394_gab,hate_speech,0.979077,0.979077,0.0,0.0
12167048_gab,hate_speech,0.989879,0.989879,0.0,0.0
1178525090847379458_twitter,normal,0.723742,0.723742,0.0,0.0
25085591_gab,hate_speech,0.730787,0.954761,-0.223974,0.223974
11823648_gab,offensive,0.006392,0.006392,0.0,0.0
1178692034531643396_twitter,normal,0.010435,0.010046,0.000389,0.000389
1115764597720408064_twitter,offensive,0.988368,0.988433,-6.5e-05,6.5e-05
1225612446406266880_twitter,offensive,0.985166,0.985166,0.0,0.0
9867117_gab,hate_speech,0.982657,0.97825,0.004407,0.004407
1178273334452203520_twitter,normal,0.00544,0.010687,-0.005247,0.005247
15836567_gab,offensive,0.003007,0.003007,0.0,0.0
1179030757555261440_twitter,normal,0.003345,0.003561,-0.000216,0.000216
24305062_gab,hate_speech,0.003395,0.003744,-0.000349,0.000349
1178598150002466816_twitter,offensive,0.002283,0.002058,0.000225,0.000225
3965684_gab,offensive,0.002224,0.002224,0.0,0.0
18032474_gab,offensive,0.993659,0.993659,0.0,0.0
1179030519213957120_twitter,normal,0.035117,0.024064,0.011053,0.011053
19096665_gab,hate_speech,0.005275,0.005275,0.0,0.0
1179100716960555010_twitter,normal,0.993709,0.993709,0.0,0.0
1173341490682179585_twitter,normal,0.007962,0.007962,0.0,0.0
9826963_gab,offensive,0.002384,0.002384,0.0,0.0
12043182_gab,hate_speech,0.020508,0.020395,0.000113,0.000113
17958017_gab,hate_speech,0.988824,0.988824,0.0,0.0
1078868437902987265_twitter,offensive,0.99538,0.99538,0.0,0.0
1086417563444232194_twitter,hate_speech,0.135099,0.098118,0.036981,0.036981
1087172044159152129_twitter,normal,0.003905,0.003905,0.0,0.0
1112193907033550848_twitter,normal,0.997524,0.997524,0.0,0.0
1086804965186830338_twitter,offensive,0.114916,0.114916,0.0,0.0
1179043438131417088_twitter,normal,0.008902,0.00767,0.001232,0.001232
23588213_gab,hate_speech,0.003475,0.003475,0.0,0.0
16126695_gab,normal,0.02778,0.02778,0.0,0.0
1224487307601858560_twitter,normal,0.011881,0.011881,0.0,0.0
1178899984038682625_twitter,normal,0.031105,0.031105,0.0,0.0
1179025510350897152_twitter,normal,0.003449,0.00366,-0.000211,0.000211
1144571404752265217_twitter,normal,0.00354,0.00273,0.00081,0.00081
25995789_gab,hate_speech,0.983973,0.983973,0.0,0.0
6984595_gab,hate_speech,0.915664,0.915664,0.0,0.0
14030104_gab,hate_speech,0.002803,0.002803,0.0,0.0
1238102962116927490_twitter,normal,0.54628,0.54628,0.0,0.0
1092772320786214912_twitter,hate_speech,0.997805,0.997805,0.0,0.0
8815422_gab,offensive,0.876567,0.876567,0.0,0.0
5822752_gab,offensive,0.002444,0.002444,0.0,0.0
1197535418910150658_twitter,offensive,0.998202,0.998202,0.0,0.0
1179072805184446464_twitter,normal,0.008638,0.013094,-0.004456,0.004456
1182374073646628870_twitter,normal,0.002563,0.002563,0.0,0.0
19787360_gab,offensive,0.014699,0.014699,0.0,0.0
1179095515226607616_twitter,normal,0.018579,0.040673,-0.022094,0.022094
26202771_gab,hate_speech,0.042696,0.042696,0.0,0.0
17501192_gab,hate_speech,0.051122,0.051122,0.0,0.0
